,HHID,IWTime,SN,Age,Gender,M_Status,Class,S_Name,Occupation,livedOutside,Address,WhenMove,BirthPlace,MoveHereYear,Caste,Secondary,Brahmin-Chetri,Gurung-Magar-Tamang,Dalit,Newar,Tharu-Darai-Kumal,Other
1059,2309163,0:07,1,39,0,1,10,0,3,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1062,2309165,0:05,1,44,0,1,5,0,5,1,0,-1,N56,2053-10,5,0,0,0,0,0,1,0
1063,2309170,0:03,1,45,1,1,0,0,5,0,0,-1,N78,2049-06,5,0,0,0,0,0,1,0
1069,2309171,0:06,1,31,0,1,12,0,3,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1073,2309174,0:05,1,30,1,1,0,0,3,1,0,-1,0,-1,6,0,0,0,0,0,0,1
1078,2309183,0:08,1,42,0,1,1,0,3,1,0,-1,0,-1,5,0,0,0,0,0,1,0
1084,2309184,0:08,1,45,0,1,0,0,5,1,0,-1,0,-1,3,0,0,0,1,0,0,0
1086,2309185,0:04,1,35,0,1,0,0,5,1,0,-1,0,-1,3,0,0,0,1,0,0,0
1093,2309187,0:10,1,22,1,1,8,0,5,0,0,-1,N78,2074-01,3,1,0,0,1,0,0,0
1098,2309189,0:10,1,20,1,0,8,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1101,2309191,0:05,1,45,1,1,5,0,5,0,0,-1,N68,2069-01,1,0,1,0,0,0,0,0
1105,2309192,0:05,1,40,1,1,7,0,5,0,0,-1,N68,2062-08,1,1,1,0,0,0,0,0
1110,2309196,0:07,1,65,0,1,0,0,5,0,0,-1,N61,2017-03,1,0,1,0,0,0,0,0
1122,2309197,0:09,1,42,1,1,10,0,5,0,0,-1,N56,2061-03,1,1,1,0,0,0,0,0
1125,2309198,0:11,1,43,1,1,0,0,5,0,0,-1,N63,2048-10,1,0,1,0,0,0,0,0
1134,2309199,0:08,1,43,0,1,10,0,3,0,0,-1,N56,2038-12,2,1,0,1,0,0,0,0
1139,2309204,0:05,1,35,1,1,7,0,5,0,0,-1,N78,2060-11,1,1,1,0,0,0,0,0
1145,2309205,0:06,1,48,0,1,7,0,5,0,0,-1,N71,2036-04,1,1,1,0,0,0,0,0
1151,2309207,0:06,1,44,1,1,10,0,5,0,0,-1,0,-1,2,1,0,1,0,0,0,0
